Cicrularity ,Alignment,Cell
0.788,Random,MDA-MB-231
0.525,Random,MDA-MB-231
0.863,Random,MDA-MB-231
0.573,Random,MDA-MB-231
0.711,Random,MDA-MB-231
0.884,Random,MDA-MB-231
0.646,Random,MDA-MB-231
0.902,Random,MDA-MB-231
0.691,Random,MDA-MB-231
0.696,Random,MDA-MB-231
0.878,Random,MDA-MB-231
0.963,Random,MDA-MB-231
0.789,Random,MDA-MB-231
0.689,Random,MDA-MB-231
0.85,Random,MDA-MB-231
0.758,Random,MDA-MB-231
0.871,Random,MDA-MB-231
0.648,Random,MDA-MB-231
0.866,Random,MDA-MB-231
0.513,Random,MDA-MB-231
0.834,Random,MDA-MB-231
0.822,Random,MDA-MB-231
0.973,Random,MDA-MB-231
0.67,Random,MDA-MB-231
0.819,Random,MDA-MB-231
0.705,Random,MDA-MB-231
0.678,Random,MDA-MB-231
0.787,Random,MDA-MB-231
0.583,Random,MDA-MB-231
0.822,Random,MDA-MB-231
0.655,Random,MDA-MB-231
0.921,Random,MDA-MB-231
0.515,Random,MDA-MB-231
0.818,Random,MDA-MB-231
0.78,Random,MDA-MB-231
0.74,Random,MDA-MB-231
0.811,Random,MDA-MB-231
0.885,Random,MDA-MB-231
0.796,Random,MDA-MB-231
0.847,Random,MDA-MB-231
0.761,Random,MDA-MB-231
0.754,Random,MDA-MB-231
0.756,Random,MDA-MB-231
0.677,Random,MDA-MB-231
0.831,Random,MDA-MB-231
0.587,Aligned,MDA-MB-231
0.348,Aligned,MDA-MB-231
0.618,Aligned,MDA-MB-231
0.64,Aligned,MDA-MB-231
0.751,Aligned,MDA-MB-231
0.644,Aligned,MDA-MB-231
0.55,Aligned,MDA-MB-231
0.699,Aligned,MDA-MB-231
0.776,Aligned,MDA-MB-231
0.803,Aligned,MDA-MB-231
0.64,Aligned,MDA-MB-231
0.469,Aligned,MDA-MB-231
0.642,Aligned,MDA-MB-231
0.464,Aligned,MDA-MB-231
0.557,Aligned,MDA-MB-231
0.684,Aligned,MDA-MB-231
0.724,Aligned,MDA-MB-231
0.797,Aligned,MDA-MB-231
0.684,Aligned,MDA-MB-231
0.457,Aligned,MDA-MB-231
0.956,Aligned,MDA-MB-231
0.764,Aligned,MDA-MB-231
0.333,Aligned,MDA-MB-231
0.441,Aligned,MDA-MB-231
0.474,Aligned,MDA-MB-231
0.651,Aligned,MDA-MB-231
0.605,Aligned,MDA-MB-231
0.512,Aligned,MDA-MB-231
0.539,Aligned,MDA-MB-231
0.554,Aligned,MDA-MB-231
0.589,Aligned,MDA-MB-231
0.589,Aligned,MDA-MB-231
0.565,Aligned,MDA-MB-231
0.451,Aligned,MDA-MB-231
0.753,Aligned,MDA-MB-231
0.925,Aligned,MDA-MB-231
0.458,Aligned,MDA-MB-231
0.74,Aligned,MDA-MB-231
0.582,Aligned,MDA-MB-231
0.434,Aligned,MDA-MB-231
0.429,Aligned,MDA-MB-231
0.459,Aligned,MDA-MB-231
0.646,Aligned,MDA-MB-231
0.341,Aligned,MDA-MB-231
0.334,Aligned,MDA-MB-231
0.526,Aligned,MDA-MB-231
0.598,Aligned,MDA-MB-231
0.499,Aligned,MDA-MB-231
0.508,Aligned,MDA-MB-231
0.454,Aligned,MDA-MB-231
0.589,Aligned,MDA-MB-231
0.764,Aligned,MDA-MB-231
0.654,Aligned,MDA-MB-231
0.642,Aligned,MDA-MB-231
0.463,Aligned,MDA-MB-231
0.561,Aligned,MDA-MB-231
0.701,Aligned,MDA-MB-231
0.514,Aligned,MDA-MB-231
0.511,Aligned,MDA-MB-231
0.454,Aligned,MDA-MB-231
0.475,Aligned,MDA-MB-231
0.494,Aligned,MDA-MB-231
0.665,Aligned,MDA-MB-231
0.669,Random,MDA-MB-231
0.771,Random,MDA-MB-231
0.509,Random,MDA-MB-231
0.914,Random,MDA-MB-231
0.702,Random,MDA-MB-231
0.683,Random,MDA-MB-231
0.461,Random,MDA-MB-231
0.657,Random,MDA-MB-231
0.716,Random,MDA-MB-231
0.694,Random,MDA-MB-231
0.791,Random,MDA-MB-231
0.566,Random,MDA-MB-231
0.809,Random,MDA-MB-231
0.695,Random,MDA-MB-231
0.869,Random,MDA-MB-231
0.873,Random,MDA-MB-231
0.927,Random,MDA-MB-231
0.807,Random,MDA-MB-231
0.757,Random,MDA-MB-231
0.73,Random,MDA-MB-231
0.757,Random,MDA-MB-231
0.813,Random,MDA-MB-231
0.684,Random,MDA-MB-231
0.622,Random,MDA-MB-231
0.723,Random,MDA-MB-231
0.442,Random,MDA-MB-231
0.899,Random,MDA-MB-231
0.615,Random,MDA-MB-231
0.716,Random,MDA-MB-231
0.647,Random,MDA-MB-231
0.74,Random,MDA-MB-231
0.816,Random,MDA-MB-231
0.725,Random,MDA-MB-231
0.556,Random,MDA-MB-231
0.702,Random,MDA-MB-231
0.63,Random,MDA-MB-231
0.697,Random,MDA-MB-231
0.922,Random,MDA-MB-231
0.918,Random,MDA-MB-231
0.829,Random,MDA-MB-231
0.829,Random,MDA-MB-231
0.717,Random,MDA-MB-231
0.533,Random,MDA-MB-231
0.815,Random,MDA-MB-231
0.928,Random,MDA-MB-231
0.692,Random,MDA-MB-231
0.958,Random,MDA-MB-231
0.711,Random,MDA-MB-231
0.791,Random,MDA-MB-231
0.765,Random,MDA-MB-231
0.718,Random,MDA-MB-231
0.964,Random,MDA-MB-231
0.571,Random,MDA-MB-231
0.851,Random,MDA-MB-231
0.768,Random,MDA-MB-231
0.716,Random,MDA-MB-231
0.663,Random,MDA-MB-231
0.903,Random,MDA-MB-231
0.708,Random,MDA-MB-231
0.857,Random,MDA-MB-231
0.813,Random,MDA-MB-231
0.626,Random,MDA-MB-231
0.824,Random,MDA-MB-231
0.739,Random,MDA-MB-231
0.783,Random,MDA-MB-231
0.642,Random,MDA-MB-231
0.57,Random,MDA-MB-231
0.686,Random,MDA-MB-231
0.442,Random,MDA-MB-231
0.624,Random,MDA-MB-231
0.732,Random,MDA-MB-231
0.592,Random,MDA-MB-231
0.674,Random,MDA-MB-231
0.847,Random,MDA-MB-231
0.59,Random,MDA-MB-231
0.536,Random,MDA-MB-231
0.62,Random,MDA-MB-231
0.632,Random,MDA-MB-231
0.915,Random,MDA-MB-231
0.811,Random,MDA-MB-231
0.979,Random,MDA-MB-231
0.809,Random,MDA-MB-231
0.814,Random,MDA-MB-231
0.896,Random,MDA-MB-231
0.805,Random,MDA-MB-231
0.797,Random,MDA-MB-231
0.715,Random,MDA-MB-231
0.631,Random,MDA-MB-231
0.773,Random,MDA-MB-231
0.795,Random,MDA-MB-231
0.905,Random,MDA-MB-231
0.859,Random,MDA-MB-231
0.748,Random,MDA-MB-231
0.692,Random,MDA-MB-231
0.852,Random,MDA-MB-231
0.777,Random,MDA-MB-231
0.761,Random,MDA-MB-231
0.946,Random,MDA-MB-231
0.753,Random,MDA-MB-231
0.77,Random,MDA-MB-231
0.779,Random,MDA-MB-231
0.781,Random,MDA-MB-231
0.439,Random,MDA-MB-231
0.472,Aligned,MDA-MB-231
0.502,Aligned,MDA-MB-231
0.355,Aligned,MDA-MB-231
0.478,Aligned,MDA-MB-231
0.577,Aligned,MDA-MB-231
0.334,Aligned,MDA-MB-231
0.31,Aligned,MDA-MB-231
0.468,Aligned,MDA-MB-231
0.302,Aligned,MDA-MB-231
0.31,Aligned,MDA-MB-231
0.683,Aligned,MDA-MB-231
0.493,Aligned,MDA-MB-231
0.486,Aligned,MDA-MB-231
0.54,Aligned,MDA-MB-231
0.536,Aligned,MDA-MB-231
0.463,Aligned,MDA-MB-231
0.345,Aligned,MDA-MB-231
0.476,Aligned,MDA-MB-231
0.326,Aligned,MDA-MB-231
0.323,Aligned,MDA-MB-231
0.45,Aligned,MDA-MB-231
0.463,Aligned,MDA-MB-231
0.5,Aligned,MDA-MB-231
0.557,Aligned,MDA-MB-231
0.388,Aligned,MDA-MB-231
0.413,Aligned,MDA-MB-231
0.3,Aligned,MDA-MB-231
0.476,Aligned,MDA-MB-231
0.475,Aligned,MDA-MB-231
0.471,Aligned,MDA-MB-231
0.515,Aligned,MDA-MB-231
0.669,Aligned,MDA-MB-231
0.587,Aligned,MDA-MB-231
0.827,Aligned,MDA-MB-231
0.484,Aligned,MDA-MB-231
0.891,Aligned,MDA-MB-231
0.448,Aligned,MDA-MB-231
0.54,Aligned,MDA-MB-231
0.544,Aligned,MDA-MB-231
0.419,Aligned,MDA-MB-231
0.491,Aligned,MDA-MB-231
0.581,Aligned,MDA-MB-231
0.385,Aligned,MDA-MB-231
0.716,Aligned,MDA-MB-231
0.425,Aligned,MDA-MB-231
0.462,Aligned,MDA-MB-231
0.497,Aligned,MDA-MB-231
0.569,Aligned,MDA-MB-231
0.531,Aligned,MDA-MB-231
0.602,Aligned,MDA-MB-231
0.599,Aligned,MDA-MB-231
0.529,Aligned,MDA-MB-231
0.505,Aligned,MDA-MB-231
0.777,Aligned,MDA-MB-231
0.434,Aligned,MDA-MB-231
0.62,Aligned,MDA-MB-231
0.555,Aligned,MDA-MB-231
0.499,Aligned,MDA-MB-231
0.581,Aligned,MDA-MB-231
0.843,Aligned,MDA-MB-231
0.846,Aligned,MDA-MB-231
0.88,Aligned,MDA-MB-231
0.729,Aligned,MDA-MB-231
0.718,Aligned,MDA-MB-231
0.837,Aligned,MDA-MB-231
0.43,Aligned,MDA-MB-231
0.673,Aligned,MDA-MB-231
0.888,Aligned,MDA-MB-231
0.445,Aligned,MDA-MB-231
0.553,Aligned,MDA-MB-231
0.393,Aligned,MDA-MB-231
0.52,Aligned,MDA-MB-231
0.489,Aligned,MCF-10A
0.482,Aligned,MCF-10A
0.432,Aligned,MCF-10A
0.718,Aligned,MCF-10A
0.488,Aligned,MCF-10A
0.416,Aligned,MCF-10A
0.474,Aligned,MCF-10A
0.431,Aligned,MCF-10A
0.597,Aligned,MCF-10A
0.508,Aligned,MCF-10A
0.467,Aligned,MCF-10A
0.618,Aligned,MCF-10A
0.603,Aligned,MCF-10A
0.264,Aligned,MCF-10A
0.537,Aligned,MCF-10A
0.445,Aligned,MCF-10A
0.376,Aligned,MCF-10A
0.403,Aligned,MCF-10A
0.601,Aligned,MCF-10A
0.926,Aligned,MCF-10A
0.506,Aligned,MCF-10A
0.515,Aligned,MCF-10A
0.837,Aligned,MCF-10A
0.502,Aligned,MCF-10A
0.637,Aligned,MCF-10A
0.526,Aligned,MCF-10A
0.498,Aligned,MCF-10A
0.46,Aligned,MCF-10A
0.625,Aligned,MCF-10A
0.646,Aligned,MCF-10A
0.786,Aligned,MCF-10A
0.785,Aligned,MCF-10A
0.71,Aligned,MCF-10A
0.595,Aligned,MCF-10A
0.759,Aligned,MCF-10A
0.563,Aligned,MCF-10A
0.702,Aligned,MCF-10A
0.528,Aligned,MCF-10A
0.556,Aligned,MCF-10A
0.716,Aligned,MCF-10A
0.569,Aligned,MCF-10A
0.459,Aligned,MCF-10A
0.478,Aligned,MCF-10A
0.562,Aligned,MCF-10A
0.491,Aligned,MCF-10A
0.745,Aligned,MCF-10A
0.761,Aligned,MCF-10A
0.6,Aligned,MCF-10A
0.764,Aligned,MCF-10A
0.696,Aligned,MCF-10A
0.595,Aligned,MCF-10A
0.643,Aligned,MCF-10A
0.896,Aligned,MCF-10A
0.501,Aligned,MCF-10A
0.94,Aligned,MCF-10A
0.649,Aligned,MCF-10A
0.584,Aligned,MCF-10A
0.684,Aligned,MCF-10A
0.559,Aligned,MCF-10A
0.796,Aligned,MCF-10A
0.565,Aligned,MCF-10A
0.773,Aligned,MCF-10A
0.365,Aligned,MCF-10A
0.454,Aligned,MCF-10A
0.735,Aligned,MCF-10A
0.389,Aligned,MCF-10A
0.477,Aligned,MCF-10A
0.823,Random,MCF-10A
0.829,Random,MCF-10A
0.545,Random,MCF-10A
0.891,Random,MCF-10A
0.824,Random,MCF-10A
0.897,Random,MCF-10A
0.649,Random,MCF-10A
0.882,Random,MCF-10A
0.64,Random,MCF-10A
0.766,Random,MCF-10A
0.577,Random,MCF-10A
0.522,Random,MCF-10A
0.607,Random,MCF-10A
0.688,Random,MCF-10A
0.673,Random,MCF-10A
0.774,Random,MCF-10A
0.962,Random,MCF-10A
0.926,Random,MCF-10A
0.748,Random,MCF-10A
0.899,Random,MCF-10A
0.718,Random,MCF-10A
0.781,Random,MCF-10A
0.641,Random,MCF-10A
0.826,Random,MCF-10A
0.603,Random,MCF-10A
0.896,Random,MCF-10A
0.849,Random,MCF-10A
0.881,Random,MCF-10A
0.86,Random,MCF-10A
0.846,Random,MCF-10A
0.82,Random,MCF-10A
0.722,Random,MCF-10A
0.823,Random,MCF-10A
0.634,Random,MCF-10A
0.463,Aligned,MCF-10A
0.903,Aligned,MCF-10A
0.453,Aligned,MCF-10A
0.708,Aligned,MCF-10A
0.461,Aligned,MCF-10A
0.814,Aligned,MCF-10A
0.631,Aligned,MCF-10A
0.765,Aligned,MCF-10A
0.459,Aligned,MCF-10A
0.768,Aligned,MCF-10A
0.472,Aligned,MCF-10A
0.434,Aligned,MCF-10A
0.621,Aligned,MCF-10A
0.649,Aligned,MCF-10A
0.843,Aligned,MCF-10A
0.478,Aligned,MCF-10A
0.689,Aligned,MCF-10A
0.564,Aligned,MCF-10A
0.65,Aligned,MCF-10A
0.434,Aligned,MCF-10A
0.492,Aligned,MCF-10A
0.618,Aligned,MCF-10A
0.805,Aligned,MCF-10A
0.748,Aligned,MCF-10A
0.617,Aligned,MCF-10A
0.689,Aligned,MCF-10A
0.882,Aligned,MCF-10A
0.594,Aligned,MCF-10A
0.571,Aligned,MCF-10A
0.61,Aligned,MCF-10A
0.628,Aligned,MCF-10A
0.574,Aligned,MCF-10A
0.925,Aligned,MCF-10A
0.52,Aligned,MCF-10A
0.723,Aligned,MCF-10A
0.384,Aligned,MCF-10A
0.596,Aligned,MCF-10A
0.3,Aligned,MCF-10A
0.467,Aligned,MCF-10A
0.766,Aligned,MCF-10A
0.238,Aligned,MCF-10A
0.609,Aligned,MCF-10A
0.63,Aligned,MCF-10A
0.692,Aligned,MCF-10A
0.826,Aligned,MCF-10A
0.503,Aligned,MCF-10A
0.447,Aligned,MCF-10A
0.653,Aligned,MCF-10A
0.403,Aligned,MCF-10A
0.352,Aligned,MCF-10A
0.364,Aligned,MCF-10A
0.634,Aligned,MCF-10A
0.466,Aligned,MCF-10A
0.702,Aligned,MCF-10A
0.91,Aligned,MCF-10A
0.563,Aligned,MCF-10A
0.722,Aligned,MCF-10A
0.733,Aligned,MCF-10A
0.655,Aligned,MCF-10A
0.768,Aligned,MCF-10A
0.395,Aligned,MCF-10A
0.479,Aligned,MCF-10A
0.545,Aligned,MCF-10A
0.829,Aligned,MCF-10A
0.684,Aligned,MCF-10A
0.508,Aligned,MCF-10A
0.844,Random,MCF-10A
0.904,Random,MCF-10A
0.788,Random,MCF-10A
0.663,Random,MCF-10A
0.876,Random,MCF-10A
0.668,Random,MCF-10A
0.767,Random,MCF-10A
0.837,Random,MCF-10A
0.898,Random,MCF-10A
0.842,Random,MCF-10A
0.855,Random,MCF-10A
0.546,Random,MCF-10A
0.648,Random,MCF-10A
0.791,Random,MCF-10A
0.912,Random,MCF-10A
0.787,Random,MCF-10A
0.877,Random,MCF-10A
0.85,Random,MCF-10A
0.587,Random,MCF-10A
0.658,Random,MCF-10A
0.794,Random,MCF-10A
0.928,Random,MCF-10A
0.738,Random,MCF-10A
0.544,Random,MCF-10A
0.65,Random,MCF-10A
0.749,Random,MCF-10A
0.668,Random,MCF-10A
0.676,Random,MCF-10A
0.629,Random,MCF-10A
0.882,Random,MCF-10A
0.906,Random,MCF-10A
0.68,Random,MCF-10A
0.863,Random,MCF-10A
0.623,Random,MCF-10A
0.904,Random,MCF-10A
0.962,Random,MCF-10A
0.767,Random,MCF-10A
0.678,Random,MCF-10A
0.86,Random,MCF-10A
0.68,Random,MCF-10A
0.522,Random,MCF-10A
0.586,Random,MCF-10A
0.747,Random,MCF-10A
0.758,Random,MCF-10A
0.825,Random,MCF-10A
0.655,Random,MCF-10A
0.638,Random,MCF-10A
0.634,Random,MCF-10A
0.531,Random,MCF-10A
0.815,Random,MCF-10A
0.729,Random,MCF-10A
0.669,Aligned,MCF-10A
0.41,Aligned,MCF-10A
0.755,Aligned,MCF-10A
0.36,Aligned,MCF-10A
0.461,Aligned,MCF-10A
0.572,Aligned,MCF-10A
0.557,Aligned,MCF-10A
0.641,Aligned,MCF-10A
0.256,Aligned,MCF-10A
0.869,Aligned,MCF-10A
0.59,Aligned,MCF-10A
0.389,Aligned,MCF-10A
0.522,Aligned,MCF-10A
0.502,Aligned,MCF-10A
0.492,Aligned,MCF-10A
0.52,Aligned,MCF-10A
0.685,Aligned,MCF-10A
0.575,Aligned,MCF-10A
0.508,Aligned,MCF-10A
0.762,Aligned,MCF-10A
0.542,Aligned,MCF-10A
0.466,Aligned,MCF-10A
0.704,Aligned,MCF-10A
0.613,Aligned,MCF-10A
0.595,Aligned,MCF-10A
0.548,Aligned,MCF-10A
0.529,Aligned,MCF-10A
0.619,Aligned,MCF-10A
0.559,Aligned,MCF-10A
0.54,Aligned,MCF-10A
0.591,Aligned,MCF-10A
0.724,Aligned,MCF-10A
0.553,Aligned,MCF-10A
0.688,Aligned,MCF-10A
0.372,Aligned,MCF-10A
0.438,Aligned,MCF-10A
0.756,Aligned,MCF-10A
0.735,Aligned,MCF-10A
0.527,Aligned,MCF-10A
0.828,Aligned,MCF-10A
0.547,Aligned,MCF-10A
0.955,Aligned,MCF-10A
0.593,Aligned,MCF-10A
0.732,Aligned,MCF-10A
0.519,Aligned,MCF-10A
0.605,Aligned,MCF-10A
0.613,Aligned,MCF-10A
0.586,Aligned,MCF-10A
0.475,Aligned,MCF-10A
0.448,Aligned,MCF-10A
0.384,Aligned,MCF-10A
0.515,Aligned,MCF-10A
0.665,Aligned,MCF-10A
0.623,Aligned,MCF-10A
0.638,Aligned,MCF-10A
0.525,Aligned,MCF-10A
0.473,Aligned,MCF-10A
0.879,Aligned,MCF-10A
0.618,Aligned,MCF-10A
0.549,Aligned,MCF-10A
0.53,Aligned,MCF-10A
0.341,Aligned,MCF-10A
0.625,Aligned,MCF-10A
0.618,Aligned,MCF-10A
0.56,Aligned,MCF-10A
0.824,Aligned,MCF-10A
0.68,Aligned,MCF-10A
0.495,Aligned,MCF-10A
0.597,Random,MCF-10A
0.831,Random,MCF-10A
0.886,Random,MCF-10A
0.894,Random,MCF-10A
0.908,Random,MCF-10A
0.907,Random,MCF-10A
0.882,Random,MCF-10A
0.918,Random,MCF-10A
0.899,Random,MCF-10A
0.88,Random,MCF-10A
0.801,Random,MCF-10A
0.952,Random,MCF-10A
0.637,Random,MCF-10A
0.841,Random,MCF-10A
0.576,Random,MCF-10A
0.703,Random,MCF-10A
0.92,Random,MCF-10A
0.548,Random,MCF-10A
0.717,Random,MCF-10A
0.753,Random,MCF-10A
0.734,Random,MCF-10A
0.51,Random,MCF-10A
0.933,Random,MCF-10A
0.933,Random,MCF-10A
0.905,Random,MCF-10A
0.667,Random,MCF-10A
0.843,Random,MCF-10A
0.584,Random,MCF-10A
0.682,Random,MCF-10A
0.781,Random,MCF-10A
0.783,Random,MCF-10A
0.934,Random,MCF-10A
0.505,Random,MCF-10A
0.879,Random,MCF-10A
0.716,Random,MCF-10A
0.862,Random,MCF-10A
0.899,Random,MCF-10A
0.935,Random,MCF-10A
0.634,Random,MCF-10A
0.641,Random,MCF-10A
0.858,Random,MCF-10A
0.619,Random,MCF-10A
0.832,Random,MCF-10A
0.626,Random,MCF-10A
0.57,Random,MCF-10A
0.601,Random,MCF-10A
0.777,Random,MCF-10A
0.825,Random,MCF-10A
0.549,Random,MCF-10A
0.946,Random,MCF-10A
0.585,Random,MCF-10A
0.554,Random,MCF-10A
0.813,Random,MCF-10A
0.629,Random,MCF-10A
0.574,Random,MCF-10A
0.434,Random,MCF-10A
0.648,Random,MCF-10A
0.636,Random,MCF-10A
0.789,Random,MCF-10A
0.853,Random,MCF-10A
0.598,Random,MCF-10A
0.644,Random,MCF-10A
0.6,Random,MCF-10A
0.707,Random,MCF-10A
0.636,Random,MCF-10A
0.655,Random,MCF-10A
0.502,Random,MCF-10A
0.793,Random,MCF-10A
